,id,nik,nokk,nama,alamat,status
0,1,9636197949115131,7707807018188253,Bakiadi Mayasari,"Gg. Ronggowarsito No. 2
Mojokerto, BE 31604",0
1,2,4298694820927857,6155529151708620,"Aisyah Waskita, M.Ak","Gg. Sadang Serang No. 878
Metro, KT 70296",0
2,3,8083812829996764,3997447460395527,"drg. Vera Santoso, S.IP","Jl. H.J Maemunah No. 35
Manado, Sumatera Selatan 98529",0
3,4,5172960341723517,5254129167912122,Irnanto Rahimah,"Gg. Gedebage Selatan No. 2
Mataram, MU 88052",0
4,5,3691952500566343,2576553711612055,Ir. Rendy Sudiati,"Jalan Gardujati No. 2
Padangpanjang, NT 63049",0
5,6,2597506201120814,8680975825653735,Ir. Jane Usamah,"Gg. Cikutra Barat No. 155
Makassar, Kalimantan Selatan 94810",0
6,7,4661827650438863,3911296842191845,Dinda Permadi,"Gg. W.R. Supratman No. 80
Medan, KB 27670",0
7,8,3991766350826662,9137126724337033,"Nurul Susanti, S.Gz","Gang Setiabudhi No. 50
Madiun, Sumatera Utara 24166",0
8,9,1033749264650657,9491548883481996,Ciaobella Prasasta,"Jalan Pacuan Kuda No. 39
Bogor, Maluku 59185",0
9,10,4832104097445395,7969792377678532,Mila Mahendra,"Jl. K.H. Wahid Hasyim No. 28
Mataram, SS 67680",0
